,variable,importance
263,species_fossilis,0.000909113334213173
264,pub705,0.0009064487426620491
265,pub27,0.0008944853289151088
266,pub506,0.0008754386868870866
267,pub629,0.000875032431887515
268,pub413,0.0008719567358386165
269,pub4,0.000867986927347148
270,genus_Anguilla,0.0008679177737011074
271,pub419,0.0008662881694505521
272,pub302,0.0008649516870405182
273,pub807,0.0008610143908693814
274,pub424,0.0008577006097725665
275,species_tshawytscha,0.0008576704898823661
276,pub786,0.0008558950661484892
277,pub687,0.0008548283970273997
278,genus_Oryzias,0.0008506009564524498
279,pub591,0.000847371939987609
280,tax_order_Anguilliformes,0.0008460824601505642
281,pub669,0.000843518263852426
282,pub546,0.0008433128080901454
283,pub158,0.0008411282593001163
284,pub778,0.000839816887495785
285,pub681,0.000835524304949765
286,pub477,0.0008331903527453239
287,pub613,0.0008327850040693639
288,pub665,0.0008302209412219367
289,species_xanthurus,0.0008293652388815623
290,species_clarkii,0.0008282832793106098
291,pub568,0.000828006395702318
292,pub147,0.0008180193494607013
293,pub663,0.0008107495173178383
294,family_Adrianichthyidae,0.0008107410365736859
295,pub626,0.0008081731941248179
296,pub44,0.0008070635552082716
297,pub426,0.0008039281427233101
298,pub344,0.0008002046451896268
299,pub624,0.0007980887340202533
300,family_Anguillidae,0.0007974219011352097
301,pub404,0.0007967341315853338
302,pub450,0.0007961158759344365
303,family_Sciaenidae,0.0007942064208809537
304,pub457,0.0007904659455150914
305,genus_Salmo,0.0007867792853203016
306,pub382,0.0007866780051080245
307,pub753,0.0007836678374049316
308,pub193,0.0007777219089607735
309,pub454,0.0007775323626584596
310,pub646,0.0007765642088734412
311,tax_order_Beloniformes,0.0007716189754383293
312,genus_Rasbora,0.0007710480121578552
313,pub455,0.0007679350207397107
314,species_latipes,0.0007678172386199164
315,species_batrachus,0.0007622186087128643
316,pub250,0.0007601158100066815
317,pub601,0.00075963690819979
318,pub515,0.0007592208325057527
319,pub798,0.0007589609616737528
320,pub547,0.0007564983497777581
321,application_freq_unit_DLY,0.0007539198532100081
322,pub437,0.0007513108979756196
323,pub668,0.000745993937325269
324,genus_Leiostomus,0.0007426796158795752
325,pub565,0.0007404074778150744
326,pub508,0.0007365373781434767
327,pub533,0.0007310059831908467
328,pub772,0.00072952014063181
329,pub456,0.000728269409761885
330,pub384,0.0007263120526327941
331,pub298,0.0007240903710457239
332,pub260,0.0007206976664065817
333,pub17,0.0007198470095137729
334,pub571,0.0007193888057692987
335,pub181,0.0007148550344733086
336,pub538,0.00071407761830909
337,pub402,0.0007124775236823161
338,pub443,0.0007103532382929381
339,species_punctata,0.0007098642537239336
340,pub459,0.000707553975773879
341,pub438,0.000703840409846571
342,pub362,0.0007019887004693338
343,pub608,0.0007002248030042626
344,pub460,0.0007000736950257306
345,pub604,0.0006999311961741171
346,pub532,0.0006985382765219445
347,pub594,0.0006984832511062036
348,pub306,0.0006984633202964061
349,pub656,0.0006964458438298391
350,pub655,0.0006961177092976069
351,pub783,0.0006960882721706659
352,pub182,0.000689523790344094
353,pub658,0.0006885631307023269
354,species_ticto,0.0006879075122910538
355,pub328,0.0006859109700687551
356,pub792,0.0006849587803967187
357,species_heteromorpha,0.0006814706527786663
358,pub567,0.0006765510532135587
359,species_anguilla,0.0006721994760909114
360,pub610,0.000669885320337728
361,genus_Salvelinus,0.0006676586268425734
362,pub561,0.0006669211750799272
363,species_mossambicus,0.0006622399307473169
364,pub377,0.0006618019792575202
365,pub666,0.0006557022201778178
366,pub678,0.0006542769811096637
367,pub637,0.0006404825401869392
368,pub720,0.000639350565596793
369,species_trutta,0.0006387533753974148
370,pub397,0.0006375980155304014
371,pub828,0.0006375053630208851
372,species_saxatilis,0.0006282466764894253
373,pub584,0.0006280463095374486
374,pub550,0.0006184312898533148
375,pub503,0.0006174268344766788
376,pub36,0.0006135500990787455
377,pub257,0.0006127033930451626
378,pub596,0.0006107379072507797
379,pub715,0.000606692585655427
380,pub494,0.0006044737068985797
381,pub433,0.0006039406808051474
382,pub559,0.0006032556017517821
383,pub835,0.0005997533952870901
384,pub765,0.0005914891610951524
385,pub449,0.0005852189757298696
386,pub256,0.0005819754989297694
387,pub750,0.0005780802974700741
388,pub293,0.0005776006241893814
389,pub579,0.0005775946346668284
390,pub585,0.0005753607142057501
391,pub553,0.00057461399567639
392,pub245,0.0005727769123736429
393,pub301,0.0005703980957672838
394,pub635,0.0005693470054412713
395,pub463,0.0005676824333979783
396,pub634,0.0005671150604287401
397,pub339,0.0005620198711228873
398,pub356,0.0005549679290154189
399,species_japonica,0.0005523317716811408
