,test_cas,smiles,pubchem2d,atom_number,alone_atom_number,bonds_number,doubleBond,tripleBond,ring_number,Mol,MorganDensity,LogP,oh_count,MeltingPoint,WaterSolubility
20,57-15-8,CC(C)(O)C(Cl)(Cl)Cl,10000000011000000010000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000010000000000000100000000000000000000000110001000110100000001000000010000000000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5207300782128838,0,0.33029012623330456,0,0,0,0.45565274119898996,1.125,2.127500000000001,1,90.5121,0.5719380323026895
21,57-33-0,[Na+].CCCC(C)C1(CC)C(=O)NC(=O)[N-]C1=O,11100000011100110011000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000111100000000100000011000000000000000000000110000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000011010000010001100000000000000000001000000000000000000000010000000010100100010000000000000000000000001000110001000100000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6850021281749339,2,0.509879245788606,3,0,1,0.5362998444137815,1.2941176470588236,-1.0269,0,134.891,0.03455814577143698
22,57-43-2,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,11100000011100110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000111100000000100000011000000000000000000000110000000000000010110000000000000000000000000010000000000000000001000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000000000000000011010000010001100000000000000000001000000000000000000000010000000010100100010000000000000000000000001000110001000100001000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6714559000758995,0,0.509879245788606,3,0,1,0.5140166143956449,1.125,1.1849999999999998,0,139.345,-0.228580273692122
23,57-55-6,CC(O)CO,11000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.42463708906849196,0,0.2183098986658494,0,0,0,0.2530751427378232,1.8,-0.6405000000000001,2,-42.3869,1.9372676910359417
24,57-74-9,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,10000000011100000000000000000000000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000011000001000000000000000000001000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000001100000000010000000000000000000000000000000000000110100000011100000000000000011000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000100001000000000000000000001000001000000000000000000000000010000000010000000000000000000000000000000000000000000000001000000000000000000010000000000000000011000000001000000011000000000011101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000100100010000000000000100,0.6978157607235724,0,0.5602244748965176,1,0,3,0.6568773993868772,0.8888888888888888,5.682800000000001,0,103.589,-2.1522699487771875
25,58-08-2,Cn1cnc2N(C)C(=O)N(C)C(=O)c12,11000000011100111011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011000000000000000000000000001111000000000000000000000000000000000000000000000100000001000000000011001011000000100000001111011000000010111000011000001000000000000101010000000000100000111011100010111010000000000100000001000000000101101000101110001000010100000000000010101000000000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010001000000010000000011100100010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5456999379736751,0,0.4954351893499569,2,0,2,0.4772884704563648,1.1428571428571428,-1.0293,0,190.35299999999998,0.4544042996859458
26,58-27-5,CC1=CC(=O)c2ccccc2C1=O,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000001101000000000000000000000000000000000000000000000110000000100100000001001100000000000001100100000000010000000000000000000000000000000100010000000001010100000010100100000000000000000000000100000000000000000001001000000000000000000000010001000100000000001000000000000000011001000000010000010000000110010100000000001010100010000100000000010000100000000001000001000000000000000000010001000100110000111000010011000100010000000100011101000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000,0.4928161498861506,0,0.4800586308849718,3,0,2,0.4484108492048972,1.0,2.0119,0,108.089,0.012094710783676141
27,58-89-9,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,10000000011000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000010000000000000000000000000000000000000100000000011100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000,0.6078788182600285,0,0.4459642876951254,0,0,1,0.5743599583431126,0.3333333333333333,3.644400000000001,0,76.5634,-1.5154413930499644
28,58-90-2,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,00000000011000000010000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000010000000000000100000000000000000000000100000000110100000001001000000100000001100000000011010000000000000000000001000000000100000000000000000100000010000100000000000000000000000100000000000000000001000000010010101000000000000001000101001000000000001000000101110001000000010000010011000100010100000110001001000010010100000000111000000000000001001001100000000010001000010001001100000000111100000000100000000000000000000000000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000100000000100000000000000000000000000000000000000000000,0.42463708906849196,0,0.4268937953357748,0,0,1,0.5199091897109417,0.9090909090909092,4.005799999999999,1,84.4165,-0.03201943116940066
29,59-50-7,Cc1cc(O)ccc1Cl,10000000011000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000010000000000000100000000000000000000000110000000110100000001001100000100000001100100000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010010100000000000010001000100000000000000001100000101010001000000010000010011000100010100000110001001100010010100000000111000000000000001001001100000000010001000010001001100000000111100000001100000000010000000011100000000000100000000000010000000000000000000000010000000000000000000000000100000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000,0.32854409992410044,0,0.3834549617825017,0,0,1,0.4031746347235329,1.4444444444444444,2.35402,1,59.945,0.19020552111910516
